"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";" Total"
"24 Rio Grande do Norte";"77,45";"74,74";"73,20";"74,06";"66,95";"66,95";"77,24";"69,57";"58,93";"3,05";"71,49";"73,17";"72,90";"65,05";"77,49";"54,08";"5,81";"66,01";"70,23";"24,02";"49,41";"61,59"
"25 Paraíba";"63,57";"59,43";"75,23";"75,53";"72,30";"72,30";"80,13";"72,46";"56,60";"13,27";"69,35";"72,81";"72,92";"65,39";"78,80";"53,22";"5,53";"59,22";"69,17";"24,91";"47,86";"60,48"
"26 Pernambuco";"76,29";"75,16";"72,40";"74,05";"69,58";"69,58";"76,93";"71,50";"53,82";"27,26";"68,99";"68,20";"71,81";"63,24";"77,81";"52,06";"3,21";"59,18";"71,23";"26,44";"50,53";"60,98"
"27 Alagoas";"67,23";"59,04";"73,80";"73,87";"75,18";"75,18";"78,45";"72,03";"50,93";"8,49";"69,41";"70,98";"71,58";"64,27";"80,18";"51,90";"3,82";"51,75";"76,72";"22,18";"43,70";"59,23"
"28 Sergipe";"69,32";"68,58";"70,80";"71,52";"72,94";"72,94";"73,49";"70,64";"54,31";"0,82";"66,03";"65,95";"69,11";"60,10";"74,92";"59,97";"1,45";"53,13";"64,99";"24,77";"36,49";"58,22"
"29 Bahia";"74,81";"69,67";"70,99";"72,63";"68,39";"68,39";"76,21";"69,62";"47,63";"61,06";"67,55";"66,39";"70,71";"57,12";"78,47";"53,79";"3,76";"54,39";"65,91";"18,33";"39,21";"59,95"
"31 Minas Gerais";"81,50";"73,75";"87,43";"86,33";"88,17";"88,17";"88,67";"85,83";"78,64";"80,22";"88,96";"79,99";"85,59";"82,14";"92,20";"75,72";"2,33";"85,32";"91,22";"23,44";"51,94";"76,91"
"32 Espírito Santo";"77,34";"68,58";"81,69";"84,31";"87,27";"87,27";"86,18";"81,56";"78,43";"64,67";"82,99";"79,53";"80,85";"72,41";"85,91";"69,68";"1,36";"93,22";"82,22";"41,06";"59,45";"74,48"
"33 Rio de Janeiro";"60,02";"40,16";"56,36";"56,30";"55,07";"55,07";"59,52";"54,83";"49,55";"40,00";"52,06";"51,47";"52,62";"45,79";"59,65";"38,48";"10,63";"52,27";"46,85";"11,50";"34,01";"46,65"
"35 São Paulo";"67,18";"52,55";"81,28";"82,20";"89,23";"89,23";"83,98";"81,72";"82,93";"68,95";"80,42";"74,56";"80,20";"73,81";"85,21";"67,08";"2,39";"91,96";"85,75";"16,20";"35,79";"70,13"
"41 Paraná";"88,49";"60,10";"87,05";"88,16";"87,98";"87,98";"89,52";"85,86";"85,33";"75,96";"86,33";"72,35";"84,75";"76,84";"85,02";"79,89";"55,94";"87,54";"84,42";"23,71";"49,70";"77,15"
"42 Santa Catarina";"79,94";"73,01";"90,23";"90,76";"87,87";"87,87";"93,66";"88,22";"98,63";"77,24";"88,38";"81,47";"85,58";"84,11";"86,34";"84,56";"60,59";"92,42";"93,19";"34,29";"56,54";"81,65"
"43 Rio Grande do Sul";"81,81";"70,35";"84,26";"86,82";"85,76";"85,76";"88,08";"84,09";"89,68";"60,07";"83,15";"76,84";"83,52";"80,45";"84,07";"76,75";"57,88";"94,48";"86,93";"22,70";"53,54";"76,88"
"50 Mato Grosso do Sul";"61,55";"55,82";"82,93";"84,64";"82,10";"82,10";"86,55";"81,75";"84,33";"66,42";"78,67";"75,53";"81,50";"75,24";"79,67";"66,24";"55,49";"93,13";"84,75";"21,80";"52,92";"72,84"
"51 Mato Grosso";"83,46";"73,77";"81,32";"84,56";"76,68";"76,68";"88,65";"80,80";"76,96";"70,67";"80,50";"81,48";"84,52";"74,53";"82,13";"69,97";"60,77";"76,45";"78,42";"21,96";"58,15";"74,42"
"52 Goiás";"78,00";"67,45";"80,06";"81,60";"76,07";"76,07";"84,22";"77,74";"74,34";"66,09";"78,91";"74,65";"75,66";"71,50";"75,36";"68,09";"52,56";"75,79";"69,85";"18,20";"46,44";"69,82"
"53 Distrito Federal";"90,56";"86,02";"81,31";"82,63";"88,38";"88,38";"85,29";"81,15";"84,30";"74,28";"78,60";"81,73";"81,05";"72,49";"79,91";"66,35";"42,82";"85,29";"86,88";"14,57";"63,66";"75,88"
"Total";"73,38";"62,96";"77,01";"78,22";"76,94";"76,94";"81,03";"75,86";"67,11";"57,10";"74,91";"71,23";"75,70";"68,26";"79,48";"62,74";"20,67";"72,98";"76,05";"22,40";"45,43";"66,61"
