"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";" Total"
"32 Espírito Santo";"90,10";"83,53";"88,70";"90,46";"66,38";"66,36";"91,76";"86,68";"78,79";"70,89";"91,96";"88,41";"91,72";"78,71";"95,01";"87,45";"3,42";"44,80";"44,64";"57,38";"73,10";"75,32"
"33 Rio de Janeiro";"79,62";"50,77";"75,05";"76,81";"55,16";"55,15";"78,40";"73,62";"53,83";"55,21";"77,67";"73,48";"71,95";"60,18";"96,58";"77,24";"6,76";"36,84";"39,61";"34,37";"54,09";"61,19"
"35 São Paulo";"83,78";"77,52";"87,17";"87,88";"72,14";"72,10";"89,81";"86,62";"82,67";"72,30";"86,26";"82,85";"86,34";"78,83";"91,80";"82,50";"26,81";"64,46";"58,48";"40,27";"54,77";"74,50"
"41 Paraná";"91,19";"70,89";"90,80";"92,93";"79,03";"79,03";"92,38";"89,69";"86,79";"83,19";"91,29";"88,42";"90,44";"80,90";"91,99";"90,67";"83,02";"78,82";"76,48";"44,45";"68,69";"82,87"
"42 Santa Catarina";"83,43";"79,94";"95,35";"97,88";"71,98";"71,98";"97,88";"93,68";"99,46";"84,43";"94,35";"93,59";"94,87";"84,07";"95,82";"93,34";"89,32";"55,69";"54,50";"55,50";"71,96";"83,98"
"43 Rio Grande do Sul";"87,83";"78,35";"86,94";"90,81";"71,77";"71,77";"89,64";"85,09";"85,15";"63,72";"89,42";"86,90";"91,35";"80,85";"91,23";"87,60";"82,89";"66,37";"64,98";"47,95";"68,08";"79,46"
"50 Mato Grosso do Sul";"114,25";"111,71";"94,82";"97,25";"85,74";"85,70";"98,17";"94,41";"94,68";"88,88";"94,21";"96,63";"97,09";"92,92";"104,88";"92,21";"81,86";"70,51";"66,40";"62,99";"79,42";"90,84"
"51 Mato Grosso";"90,11";"86,96";"86,18";"90,31";"72,52";"72,52";"90,58";"85,81";"74,38";"75,92";"82,91";"90,44";"89,42";"74,42";"89,91";"83,71";"79,44";"54,29";"57,57";"45,07";"67,12";"78,28"
"52 Goiás";"86,73";"77,48";"83,98";"85,67";"64,00";"64,00";"86,99";"81,52";"67,60";"73,43";"83,29";"84,87";"84,76";"73,61";"88,39";"79,68";"71,18";"34,41";"36,50";"36,42";"64,04";"71,93"
"53 Distrito Federal";"93,24";"102,65";"85,38";"85,69";"69,95";"69,95";"88,06";"84,32";"79,77";"79,19";"87,32";"79,87";"84,33";"77,23";"85,71";"86,80";"84,27";"52,05";"52,46";"58,02";"72,20";"79,12"
"Total";"86,67";"78,57";"85,40";"87,41";"70,77";"70,76";"89,07";"84,19";"68,45";"62,41";"85,02";"83,47";"85,78";"74,62";"93,12";"81,55";"34,24";"53,74";"57,08";"45,02";"63,23";"73,44"
